* bcc 0.33.0+git 0.35.0 Not updated
    - clang: Update to latest on release/16.x branch | 16.0.3 | U | Default | 2023-05-02
    - clang: Update to 16.0.1 release | 16.0.1 | U | Default | 2023-03-29
    - clang: Update to 16.0.0 | 16.0.0 | U | Default | 2023-03-20
    - clang: Update to 15.0.7 | 15.0.7 | U | Default | 2023-01-16
    - clang: Update to 15.0.6 | 15.0.6 | U | Default | 2022-12-05
    - clang: Upgrade to 15.0.4 | 15.0.4 | U | Default | 2022-11-04
    - clang: Upgrade to 15.0.3 | 15.0.3 | U | Default | 2022-10-19
    - clang: Bump to 15.0.2 | 15.0.2 | U | Default | 2022-09-28
    - clang: Upgrade to latest on release/15.x | 15.0.1 | U | Default | 2022-09-15
    - clang: Upgrade to clang 15.0.0 release | 15.0.0 | U | Default | 2022-09-12
    - clang: Update to 14.0.6 | 14.0.6 | U | Default | 2022-07-06
    - clang: Update to 14.0.4+ | 14.0.5 | U | Default | 2022-05-26
    - clang: Upgrade to 14.0.3 | 14.0.3 | U | Default | 2022-04-30
    - clang: Upgrade to latest on 14.x release branch | 14.0.1 | U | Default | 2022-04-10
    - clang: Upgrade to upcoming clang14 release branch | 14.0.0 | U | Default | 2022-02-16
    - clang: Update to latest on 13.x release | 13.0.1 | U | Default | 2021-11-01
    - Initial import at master release start. | 13.0.0 | U | Default | 2021-09-25
* llvm-project-source-20.1.2 20.1.2  Unknown
    - clang: Upgrade to 20.1.2 release | 20.1.2 | U | Default | 2025-04-07
* nativesdk-clang-glue 1.0 1.0 Up-to-date
    - Initial import at master release start. | 1.0 | U | Default | 2021-09-25
