* aws-c-auth 0.9.1 0.9.2 Not updated
    - aws-c-http: upgrade 0.7.12 -> 0.7.13 | 0.7.13 | U | Default | 2023-09-19
    - aws-c-http: upgrade 0.7.11 -> 0.7.12 | 0.7.12 | U | Default | 2023-08-24
    - aws-c-http: upgrade 0.7.10 -> 0.7.11 | 0.7.11 | U | Default | 2023-07-11
    - aws-c-http: upgrade 0.7.8 -> 0.7.10 | 0.7.10 | U | Default | 2023-06-06
    - aws-c-http: upgrade 0.7.7 -> 0.7.8 | 0.7.8 | U | Default | 2023-05-16
    - aws-c-http: upgrade 0.7.6 -> 0.7.7 | 0.7.7 | U | Default | 2023-04-12
    - aws-c-http: upgrade 0.7.5 -> 0.7.6 | 0.7.6 | U | Default | 2023-03-23
    - aws-c-http: upgrade 0.7.4 -> 0.7.5 | 0.7.5 | U | Default | 2023-03-02
    - aws-c-http: upgrade 0.7.3 -> 0.7.4 | 0.7.4 | U | Default | 2023-02-05
    - aws-c-http: upgrade 0.7.2 -> 0.7.3 | 0.7.3 | U | Default | 2023-01-11
    - aws-c-http: upgrade 0.7.1 -> 0.7.2 | 0.7.2 | U | Default | 2023-01-10
    - aws-c-http: upgrade 0.7.0 -> 0.7.1 | 0.7.1 | U | Default | 2023-01-05
    - aws-c-http: upgrade 0.6.29 -> 0.7.0 | 0.7.0 | U | Default | 2022-12-24
    - aws-c-http: upgrade 0.6.28 -> 0.6.29 | 0.6.29 | U | Default | 2022-12-22
    - aws-c-http: upgrade 0.6.27 -> 0.6.28 | 0.6.28 | U | Default | 2022-12-06
