* python3-absl 2.1.0 2.1.0 Up-to-date
    - python3-argh: upgrade 0.28.1 -> 0.29.3 | 0.29.3 | U | Default | 2023-09-07
    - python3-argh: upgrade 0.26.2 -> 0.28.1 | 0.28.1 | U | Default | 2023-07-10
    - Initial import at master release start. | 0.26.2 | U | Default | 2021-09-24
* python3-asgiref 3.8.1 3.11.0 Not updated
    - python3-asgiref: upgrade 3.7.2 -> 3.8.1 | 3.8.1 | U | Default | 2024-04-02
    - python3-asgiref: upgrade 3.7.1 -> 3.7.2 | 3.7.2 | U | Default | 2023-05-31
    - python3-asgiref: upgrade 3.6.0 -> 3.7.1 | 3.7.1 | U | Default | 2023-05-25
    - python3-asgiref: upgrade 3.5.2 -> 3.6.0 | 3.6.0 | U | Default | 2022-12-28
    - python3-asgiref: add recipe | 3.5.2 | U | Default | 2022-08-24
* python3-aspectlib 2.0.0 2.0.0 Up-to-date
    - python3-aspectlib: upgrade 1.5.2 -> 2.0.0 | 2.0.0 | U | Default | 2023-02-08
    - Initial import at master release start. | 1.5.2 | U | Default | 2021-09-24
* python3-astor 0.8.1 0.8.1 Up-to-date
    - Initial import at master release start. | 0.8.1 | U | Default | 2021-09-24
* python3-astroid 3.3.9 4.0.2 Not updated
    - python3-astroid: Upgrade 3.3.8 -> 3.3.9 | 3.3.9 | U | Default | 2025-03-10
    - python3-astroid: upgrade 3.3.7 -> 3.3.8 | 3.3.8 | U | Default | 2025-01-02
    - python3-astroid: upgrade 3.3.5 -> 3.3.7 | 3.3.7 | U | Default | 2024-12-24
    - python3-astroid: Upgrade 3.3.4 -> 3.3.5 | 3.3.5 | U | Default | 2024-10-09
    - python3-astroid: upgrade 3.3.2 -> 3.3.4 | 3.3.4 | U | Default | 2024-09-30
    - python3-astroid: Upgrade 3.2.4 -> 3.3.2 | 3.3.2 | U | Default | 2024-08-15
    - python3-astroid: upgrade 3.2.3 -> 3.2.4 | 3.2.4 | U | Default | 2024-08-09
    - python3-astroid: upgrade 3.2.2 -> 3.2.3 | 3.2.3 | U | Default | 2024-07-15
    - python3-astroid: upgrade 3.2.0 -> 3.2.2 | 3.2.2 | U | Default | 2024-05-28
    - python3-astroid: upgrade 3.1.0 -> 3.2.0 | 3.2.0 | U | Default | 2024-05-19
    - python3-astroid: upgrade 3.0.3 -> 3.1.0 | 3.1.0 | U | Default | 2024-03-08
    - python3-astroid: upgrade 3.0.2 -> 3.0.3 | 3.0.3 | U | Default | 2024-02-09
    - python3-astroid: update to version 3.0.2 | 3.0.2 | U | Default | 2023-12-21
    - python3-astroid: upgrade 3.0.0 -> 3.0.1 | 3.0.1 | U | Default | 2023-10-23
    - python3-astroid: update version 2.16.6 -> 3.0.0 | 3.0.0 | U | Default | 2023-09-29
    - python3-astroid: upgrade 2.15.5 -> 2.15.6 | 2.15.6 | U | Default | 2023-07-17
    - python3-astroid: upgrade 2.15.4 -> 2.15.5 | 2.15.5 | U | Default | 2023-05-25
    - python3-astroid: upgrade 2.15.3 -> 2.15.4 | 2.15.4 | U | Default | 2023-05-09
    - python3-astroid: upgrade 2.15.2 -> 2.15.3 | 2.15.3 | U | Default | 2023-04-24
    - python3-astroid: upgrade 2.15.1 -> 2.15.2 | 2.15.2 | U | Default | 2023-04-10
    - python3-astroid: upgrade 2.15.0 -> 2.15.1 | 2.15.1 | U | Default | 2023-04-05
    - python3-astroid: upgrade 2.14.2 -> 2.15.0 | 2.15.0 | U | Default | 2023-03-10
    - python3-astroid: upgrade 2.14.1 -> 2.14.2 | 2.14.2 | U | Default | 2023-02-27
    - python3-astroid: upgrade 2.13.2 -> 2.14.1 | 2.14.1 | U | Default | 2023-02-08
    - python3-astroid: Upgrade 2.12.13 -> 2.13.2 | 2.13.2 | U | Default | 2023-01-12
    - python3-astroid: upgrade 2.12.12 -> 2.12.13 | 2.12.13 | U | Default | 2022-11-28
    - python3-astroid: upgrade 2.12.11 -> 2.12.12 | 2.12.12 | U | Default | 2022-10-24
    - python3-astroid: Upgrade 2.12.10 -> 2.12.11 | 2.12.11 | U | Default | 2022-10-10
    - python3-astroid: Upgrade 2.12.9 -> 2.12.10 | 2.12.10 | U | Default | 2022-09-19
    - python3-astroid: Upgrade 2.12.5 -> 2.12.9 | 2.12.9 | U | Default | 2022-09-08
    - python3-astroid: upgrade 2.12.4 -> 2.12.5 | 2.12.5 | U | Default | 2022-09-07
    - python3-astroid: upgrade 2.12.2 -> 2.12.4 | 2.12.4 | U | Default | 2022-09-03
    - python3-astroid: upgrade 2.11.6 -> 2.12.2 | 2.12.2 | U | Default | 2022-07-24
    - python3-astroid: upgrade 2.11.5 -> 2.11.6 | 2.11.6 | U | Default | 2022-07-02
    - python3-astroid: upgrade 2.11.3 -> 2.11.5 | 2.11.5 | U | Default | 2022-05-29
    - python3-astroid: upgrade 2.11.2 -> 2.11.3 | 2.11.3 | U | Default | 2022-05-02
